ID;X;Y;ce;;;
446;583027;127025;0.1;;;
447;613541;142670;0.1;;;
448;648413;89369;0.1;;;
449;615315;131596;0.1;;;
450;649725;29805;0.4;;;
451;652950;82849;0.1;;;
452;606720;219434;0.1;;;
453;620134;214344;0.1;;;
454;565312;171751;0.1;;;
455;553676;180535;0.1;;;
456;614660;117194;0.1;;;
457;621436;111328;0.1;;;
458;615600;106980;0.1;;;
459;606001;105018;0.2;;;
460;659823;70612;0.4;;;
461;656758;90490;0.1;;;
462;661599;96215;0.1;;;
463;671494;97568;0.1;;;
464;664615;103650;0.1;;;
465;651430;98982;0.1;;;
466;653717;105243;0.1;;;
467;650967;109350;0.1;;;
468;632419;93442;0.1;;;
469;622747;99325;0.1;;;
470;637147;118115;0.1;;;
471;625008;126913;0.1;;;
472;622902;121152;0.1;;;
473;602122;245572;0.1;;;
474;613219;245932;0.4;;;
475;606606;255383;0.1;;;
476;597201;262346;0.3;;;
477;567464;143629;0.1;;;
478;566810;137470;0.1;;;
479;586710;121058;0.1;;;
480;610306;110387;0.1;;;
481;601387;112155;0.1;;;
482;593934;116327;0.1;;;
483;595229;121036;0.1;;;
484;581795;52388;0.1;;;
485;574872;57437;1.4;;;
486;565786;67787;0.1;;;
487;590665;62560;0.1;;;
488;474939;246596;0.1;;;
489;464504;259640;0.1;;;
490;459717;307393;0.1;;;
491;499376;302999;0.1;;;
492;519018;291187;0.1;;;
493;349764;269936;0.1;;;
494;344214;278917;0.1;;;
495;388107;333191;0.1;;;
496;397248;329445;0.1;;;
497;388500;328000;0.1;;;
498;367454;326315;0.1;;;
499;363529;327178;0.1;;;
500;363000;301486;0.2;;;
501;433595;254185;0.1;;;
502;549652;279550;0.1;;;
503;571073;276369;0.1;;;
504;510833;241433;0.1;;;
505;340916;320938;0.2;;;
506;335074;323672;0.2;;;
507;341277;322110;0.1;;;
508;352267;315772;0.1;;;
509;342477;314811;0.1;;;
510;351328;318317;0.1;;;
511;588370;60050;0.2;;;
512;581354;55818;0.2;;;
513;591220;48690;0.3;;;
514;587777;284975;0.3;;;
515;580364;293631;0.1;;;
516;581420;306324;1.1;;;
517;579349;308077;0.1;;;
518;579617;316912;0.2;;;
519;589769;280179;0.2;;;
520;551923;223127;0.2;;;
521;540592;195680;0.1;;;
522;590804;155930;0.1;;;
523;337338;320421;0.2;;;
524;532443;174371;0.1;;;
525;541114;157323;0.1;;;
526;610838;157666;0.1;;;
527;612123;151612;0.2;;;
528;599114;150455;0.1;;;
529;587145;159751;0.1;;;
530;592541;163425;0.3;;;
531;651575;167073;0.1;;;
532;649830;163719;0.1;;;
533;629716;164825;0.1;;;
534;622051;149405;0.2;;;
535;632060;196946;0.7;;;
536;576175;174356;0.1;;;
537;535217;257177;0.2;;;
538;648291;156683;1.1;;;
539;643803;161139;0.1;;;
540;658079;5173;0.1;;;
541;638582;37581;0.1;;;
542;612138;171028;0.2;;;
543;623038;176652;0.1;;;
544;528352;229921;0.3;;;
545;533319;250056;0.1;;;
546;603468;210354;0.1;;;
547;581656;187562;0.1;;;
548;551885;187548;0.1;;;
